Description ID,Event,Test ID,Day,Start Time,Location,Staff Required,Mark,UID,Scout Instructions,Base Instructions,Completed,Join
42,Media Crew (Jump the Fence),0,1,20:15,Main Field,803,0,142,,"Capture the intensity and drama of the scenario as Scouts work together to construct their pioneering structure. Prioritize shots that emphasize teamwork, problem-solving, and innovation. 
Use dynamic angles to showcase the height and challenge of the fence, emphasizing the urgency of the task at hand. Get close-ups of the ropes, knots, and any other details that highlight the complexity and skill involved in the construction. 
As Scouts begin to cross the fence, aim for dramatic low angles that emphasize the height and challenge. Capture the reactions, emotions, and celebrations as each Scout successfully crosses. 
For added drama, employ slow-motion shots of the crossing, highlighting the precision and care taken. Utilize the drone to get overhead shots of the entire structure, giving viewers a bird's-eye view of the challenge. Lastly, don't forget to capture the interactions between the Scouts and the judges, especially during crucial decision-making moments.
",TRUE,
43,Semaphor Flags,25,1,20:30,Front Lawn,108,15,143,"During the filming of a silent movie on a remote island, your communication radios have failed. The director urgently needs to convey a secret message to the crew on the other side of the island. With no tech available, you revert to the classic Semaphore flags. Can your patrol successfully transmit this crucial message to save the shoot?","Scouts are placed at a distance from each other. The patrol is split into two. Half the patrol is responsible for sending a message to the other half, using Semaphore flags. The message to be transmitted is ""LIGHTS, CAMERA, GORDONS"". Judges should ensure that the message is correctly transmitted using the correct Semaphore signals. 

Bonus points for speed (at judge's desgression)",TRUE,"During the filming of a silent movie on a remote island, your communication radios have failed. The director urgently needs to convey a secret message to the crew on the other side of the island. With no tech available, you revert to the classic Semaphore flags. Can your patrol successfully transmit this crucial message to save the shoot?

Scouts are placed at a distance from each other. The patrol is split into two. Half the patrol is responsible for sending a message to the other half, using Semaphore flags. The message to be transmitted is ""LIGHTS, CAMERA, GORDONS"". Judges should ensure that the message is correctly transmitted using the correct Semaphore signals. 

Bonus points for speed (at judge's desgression)"
44,Jump the Fence,26,1,20:30,Main Field,108,15,144,"For the upcoming Prison Break movie, the director has asked you to assist with creating a pioneering structure and testing it, before the stunt doubles use it in the movie. In the movie scene, the only way out is over a tall fence. But there's a twist: the fence is electrified in the movie. You and your patrol must construct a pioneering structure to help the stunt doubles safely get over the fence without touching it. Once they're on the other side, there's no turning back.
","A fence approximately 1.7m in height must be set up. The patrol's task is to construct a pioneering structure that enables all their members to safely cross over the fence without making contact with it. Once a Scout has successfully crossed, they are not permitted to return. Marks will be awarded based on the effectiveness, stability, and safety of the structure. Judges must ensure that there is no contact with the fence, as this will result in penalties.

Important: Judges to construct fence prior to base. Recommend using two tripods, with rope suspended between them at 1.7m - other methods also acceptable
",TRUE,"For the upcoming Prison Break movie, the director has asked you to assist with creating a pioneering structure and testing it, before the stunt doubles use it in the movie. In the movie scene, the only way out is over a tall fence. But there's a twist: the fence is electrified in the movie. You and your patrol must construct a pioneering structure to help the stunt doubles safely get over the fence without touching it. Once they're on the other side, there's no turning back.


A fence approximately 1.7m in height must be set up. The patrol's task is to construct a pioneering structure that enables all their members to safely cross over the fence without making contact with it. Once a Scout has successfully crossed, they are not permitted to return. Marks will be awarded based on the effectiveness, stability, and safety of the structure. Judges must ensure that there is no contact with the fence, as this will result in penalties.

Important: Judges to construct fence prior to base. Recommend using two tripods, with rope suspended between them at 1.7m - other methods also acceptable
"
45,Night Base Orienteering,27,1,20:30,Lower Field,108,15,145,"Whilst filming the episode *Into the Wilderness: Hawequas Unhinged* for National Geographic, your film crew was hit by a storm and in the chaos, your equipment was lost. However, luckily the expensive gear has trackers on it, and was able to send out it's location before the battery died. Using the readouts given to you, find the locations of the missing equipment, and log what you find. Additional instructions are on the readout provided.","Scouts are given an instruction sheet with 13 bearings and distances. All bearings and distances are measured from the base location. Using a compass, Scouts will need to find each of the locations, where there will be a laminated piece of paper with a photo of the various equipment that was lost. They will need to log the equipment that they found, and report back to you on completion. For every correct corresponding equipment name and location number, they will receive one mark.",TRUE,"Whilst filming the episode *Into the Wilderness: Hawequas Unhinged* for National Geographic, your film crew was hit by a storm and in the chaos, your equipment was lost. However, luckily the expensive gear has trackers on it, and was able to send out it's location before the battery died. Using the readouts given to you, find the locations of the missing equipment, and log what you find. Additional instructions are on the readout provided.

Scouts are given an instruction sheet with 13 bearings and distances. All bearings and distances are measured from the base location. Using a compass, Scouts will need to find each of the locations, where there will be a laminated piece of paper with a photo of the various equipment that was lost. They will need to log the equipment that they found, and report back to you on completion. For every correct corresponding equipment name and location number, they will receive one mark."
46,ESM: Water Drowning,28,1,20:30,Dam,108,15,146,"During a dramatic boat scene for the latest blockbuster, the lead actor's stunt double accidentally falls overboard unseen by the occupied crew. In an unfortunate turn of events, the trailing boat accidently crashes into the double in the water, knocking him out cold with major head trauma. Upon seeing this, the director is panicking, and the medics are nowhere in sight. Step in, demonstrate the correct rescue procedure, and make sure both the victim and rescuer are cared for afterwards. The water is becoming dangerous due to the boats moving around.
","One Scout will need to be briefed away from the patrol, as they will be the drowing victem.

This Scout is then positioned in the dam, while the rest of the patrol is getting briefed. Scouts must demonstrate the correct method of retrieving their patrol member, covering the procedures: reach, throw, row, go. Following this, one patrol member must accurately rescue the drowning member. After the rescue, the patrol is required to treat BOTH the victim and the rescuer. When the victim is pulled from the water, you must inform them that their heart is not beating. Inform the rescuer that they are now shivering violently, and have become a secondary patient.

The main objective here is to assess Emergency Scene Management (ESM): the 4 H's, triage, correct 112 number called, and proceedure followed. Ensure there's an observation for their approach to the scene, prioritization of actions, and correct application of first aid techniques. CPR must be conducted, and airways must be checked. We suspect a spinal injury due to the head trauma, but it is more important to get the victem out the water as there is a time constraint.

The scenario will end once the patrol declares the victem and rescuer stable.
",TRUE,"During a dramatic boat scene for the latest blockbuster, the lead actor's stunt double accidentally falls overboard unseen by the occupied crew. In an unfortunate turn of events, the trailing boat accidently crashes into the double in the water, knocking him out cold with major head trauma. Upon seeing this, the director is panicking, and the medics are nowhere in sight. Step in, demonstrate the correct rescue procedure, and make sure both the victim and rescuer are cared for afterwards. The water is becoming dangerous due to the boats moving around.


One Scout will need to be briefed away from the patrol, as they will be the drowing victem.

This Scout is then positioned in the dam, while the rest of the patrol is getting briefed. Scouts must demonstrate the correct method of retrieving their patrol member, covering the procedures: reach, throw, row, go. Following this, one patrol member must accurately rescue the drowning member. After the rescue, the patrol is required to treat BOTH the victim and the rescuer. When the victim is pulled from the water, you must inform them that their heart is not beating. Inform the rescuer that they are now shivering violently, and have become a secondary patient.

The main objective here is to assess Emergency Scene Management (ESM): the 4 H's, triage, correct 112 number called, and proceedure followed. Ensure there's an observation for their approach to the scene, prioritization of actions, and correct application of first aid techniques. CPR must be conducted, and airways must be checked. We suspect a spinal injury due to the head trauma, but it is more important to get the victem out the water as there is a time constraint.

The scenario will end once the patrol declares the victem and rescuer stable.
"
47,Media Crew (ESM),0,1,21:00,Dam,803,0,147,,"This is an intense, high-stakes scenario - treat it as such. Start with a wide shot of the dam to set the scene, then zoom in on the briefing to capture the tension and anticipation. As the action unfolds, keep the camera steady and follow the Scouts' movements, making sure to capture their facial expressions, decision-making processes, and teamwork. 

During the rescue sequence, have one camera dedicated to close-ups: capturing hands gripping, water splashing, and the rescuer's determination. Another camera can capture the wider scene, showcasing the full scope of the rescue effort, and the patrol's coordination.

The dramatic moment when the victim is pulled from the water and the heart is not beating should be captured with a mix of close-ups and medium shots, emphasizing the urgency and the Scouts' reactions. 

When CPR is initiated, respect the sensitivity of the situation but don't shy away from the intensity of the moment. Capture the compressions, the checking of airways, and the surrounding Scouts' reactions.

Throughout, maintain a focus on the Emergency Scene Management: the prioritization, the decision-making, and the application of first aid techniques. This is not just about the drama, but about showcasing the skill and training of the Scouts in action.

End with shots of the stabilized victims and a relieved patrol, emphasizing the gravity of what they've just accomplished. If possible, get interviews or sound bites from the Scouts post-action, capturing their immediate reactions and reflections on the scenario.
",TRUE,
48,Night Bases Closing,29,1,22:30,Main Field,901,0,148,,"Everyone to go back to campsites.
Reminder that STAs due in 30 minutes.",TRUE,"Everyone to go back to campsites.
Reminder that STAs due in 30 minutes."
49,Staff Bedtime Briefing,0,1,22:45,House,800,0,149,,S,TRUE,
50,STA 2: Code,30,1,23:00,Barn,106,10,150,,"Scouts have been given a binary code that encodes an image of mario. Mark allocation goes as follows:

Hand-in  - 1
Overall correct shape - 2
Correctness: Award 7 if perfect, deduct one point per mistake thereafter. Use your discretion with colours",FALSE,"Scouts have been given a binary code that encodes an image of mario. Mark allocation goes as follows:

Hand-in  - 1
Overall correct shape - 2
Correctness: Award 7 if perfect, deduct one point per mistake thereafter. Use your discretion with colours"
51,STA 3: Script,31,1,23:00,Barn,106,10,151,,"The patrol is to write a script for the trailer of the sequel to a movie. Here's what to look for:

1. The chosen movie for the sequel and the context provided.
2. Script length should allow for performance by 2-4 patrol members within 120 seconds.
3. The script should contain voice lines for 2-4 actors/actresses.
4. The script should describe characters' actions and emotions comprehensively.
5. Originality and creativity in the sequel idea.
6. Coherence and potential appeal of the trailer's narrative.
Marking criteria:
1. Originality -2
2. Correct Length -1
3. Coherence -1
4. Cues -2
5. Overall quality -4
",TRUE,"The patrol is to write a script for the trailer of the sequel to a movie. Here's what to look for:

1. The chosen movie for the sequel and the context provided.
2. Script length should allow for performance by 2-4 patrol members within 120 seconds.
3. The script should contain voice lines for 2-4 actors/actresses.
4. The script should describe characters' actions and emotions comprehensively.
5. Originality and creativity in the sequel idea.
6. Coherence and potential appeal of the trailer's narrative.
Marking criteria:
1. Originality -2
2. Correct Length -1
3. Coherence -1
4. Cues -2
5. Overall quality -4
"
52,Rubbish Hand-In,32,1,23:00,Kitchen,102,0,152,,"Patrols are to deposit waste strictly at the kitchen area. Any recyclable materials must be retained by the patrols and taken home with them.
",TRUE,"Patrols are to deposit waste strictly at the kitchen area. Any recyclable materials must be retained by the patrols and taken home with them.
"
53,Patrol Leader Briefing 2,33,1,23:00,Front Lawn,901,0,153,,"Provide the Patrol Leader (PL) with day 2 instructions:
1. Hand over the instructions document.
2. Discuss the day's expectations.
3. Go over day 1 and allow feedback
4. Address any questions from the PL.
5. Instruct on proper rubbish disposal methods.",TRUE,"Provide the Patrol Leader (PL) with day 2 instructions:
1. Hand over the instructions document.
2. Discuss the day's expectations.
3. Go over day 1 and allow feedback
4. Address any questions from the PL.
5. Instruct on proper rubbish disposal methods."
54,Lights Out,34,2,00:00,Various,800,0,154,,No noise,TRUE,No noise
55,Breakfast Prep,0,2,06:00,House,802,0,155,,Catering start prepping breakfast and boiling water,TRUE,
56,Staff Breakfast,0,2,06:30,House,800,0,156,,Assorted cearals with milk,TRUE,
57,Staff Morning Briefing,0,2,07:15,House,800,0,157,,"Welcome everyone, hand out packs to teams
Answer any questions
Introduce that there will be two inspections, separated by bases inbetween them
Talk about tone and method of testing - the scouts must be discaplined, but this also isn't a military camp
Encourage the teams to talk with one another before hand to agree on marking methods
After inpsections scouts to go immediately into bases
Followed by final inspections
Lunch will be at 12h30",TRUE,
58,Inspection: Uniform and Hygeine,35,2,08:00,Campsites,110,10,158,,"Inspect each patrol's uniform for neatness and personal hygiene. Consider the following criteria:

1. Is the uniform neat and clean?
2. Are shirts tucked in?
3. Uniform consistency: Are all scouts in the patrol wearing the same type of pants (long, short, chinos, jeans)?
4. Hat consistency: Are all scouts either wearing hats or none of them wearing hats?
5. Personal hygiene: Have scouts washed their faces this morning?
6. Hand cleanliness: Have scouts washed their hands?
7. Oral hygiene: Verify that at least two members' toothbrushes are wet, indicating they brushed their teeth.",TRUE,"Inspect each patrol's uniform for neatness and personal hygiene. Consider the following criteria:

1. Is the uniform neat and clean?
2. Are shirts tucked in?
3. Uniform consistency: Are all scouts in the patrol wearing the same type of pants (long, short, chinos, jeans)?
4. Hat consistency: Are all scouts either wearing hats or none of them wearing hats?
5. Personal hygiene: Have scouts washed their faces this morning?
6. Hand cleanliness: Have scouts washed their hands?
7. Oral hygiene: Verify that at least two members' toothbrushes are wet, indicating they brushed their teeth."
59,Inspection: Patrol Kits,36,2,08:00,Campsites,110,10,159,,"Inspect each patrol's kit organization and maintenance:

1. Are patrol member's kits neatly stored? 
2. Are kits off the ground?
3. Are kits packed in a row?
4. Are bags accessible and closed?
5. Are patrol trommels off the ground, closed, and packed neatly?
6. Are pots from breakfast and dinner clean and dry?
7. Is the Dutch oven from dinner clean and properly oiled?",TRUE,"Inspect each patrol's kit organization and maintenance:

1. Are patrol member's kits neatly stored? 
2. Are kits off the ground?
3. Are kits packed in a row?
4. Are bags accessible and closed?
5. Are patrol trommels off the ground, closed, and packed neatly?
6. Are pots from breakfast and dinner clean and dry?
7. Is the Dutch oven from dinner clean and properly oiled?"
60,Inspection: Tent,37,2,08:00,Campsites,110,10,160,,"Inspect the tent based on the following criteria:

1. Tent must be properly pitched.
2. Tent should appear neat, easily accessible, and functional. 
3. Depending on the type (army or dome tent), the fabric/sides should be taut and evenly spread without creases.
4. Guy lines should all be pegged such that they are parallel, straight, and taut.
5. Guy ropes should be angled at 45 degrees and pegs should be secured at 90 degrees into the ground.
6. Depending on the weather, the tent should either be opened out/brailed for airing (if it's fine weather) or weatherproofed (sides secured) if it's raining.",TRUE,"Inspect the tent based on the following criteria:

1. Tent must be properly pitched.
2. Tent should appear neat, easily accessible, and functional. 
3. Depending on the type (army or dome tent), the fabric/sides should be taut and evenly spread without creases.
4. Guy lines should all be pegged such that they are parallel, straight, and taut.
5. Guy ropes should be angled at 45 degrees and pegs should be secured at 90 degrees into the ground.
6. Depending on the weather, the tent should either be opened out/brailed for airing (if it's fine weather) or weatherproofed (sides secured) if it's raining."
61,Inspection: Theme Elements in Campsite,38,2,08:00,Campsites,110,5,161,,"Inspect each campsite to determine the presence of elements related to the theme ""Director's Cut"". 
Look for indications like pictures, images, drawings of movies, or movie props and equipment. 
Marks should be awarded based on the relevance and creativity of the theme elements present in the campsite.
",TRUE,"Inspect each campsite to determine the presence of elements related to the theme ""Director's Cut"". 
Look for indications like pictures, images, drawings of movies, or movie props and equipment. 
Marks should be awarded based on the relevance and creativity of the theme elements present in the campsite.
"
62,Media Crew (Campsites General),0,2,08:00,Campsites,803,0,162,,"Dive into the heart of the scouting experience by capturing the essence of campsite living. 
Start with a drone shot, soaring above the campsites to give viewers an aerial perspective of the layout and progress. 
Zoom into the details: tents pitched, campfires, makeshift kitchens, and pioneering structures. Focus on Scouts working together, making adjustments, and improving their sites after a night's rest. 
Highlight any innovative solutions or structures they've come up with. 
Take close-ups of hands tying knots, feet stomping on pegs, and faces deep in concentration or bursting with pride. 
Also, capture the morning routines - Scouts cooking breakfast, warming hands over the fire, or planning their day. Use natural lighting to your advantage, especially during the golden hour, to add a warm and authentic touch to your footage. Remember to get candid reactions, laughter, camaraderie, and perhaps even the occasional frustration, showcasing the full spectrum of emotions and experiences in a Scout campsite.
",TRUE,
63,First Aid: Burns,39,2,09:00,Front Lawn,106,5,163,"While filming the Trinity explosion on the set of Oppenheimer, a pyrotechnic mishap has caused one of the actors to sustain a burn. As the emergency medical consultant for the movie, you need to jump into action! Treat the burn, bearing in mind it appears dry, leathery, and slightly charred black. The clock is ticking, and the director is relying on you!
","The scenario is an unfortunate accident on a movie set during a pyrotechnics scene. One of the scouts must play the victem, having suffered third-degree burns. The treating scout is to demonstrate the correct care and treatment of the patient, which should include:
1. Gently cleaning the burnt area without exacerbating the injury.
2. Applying burn shield or a similar cooling agent.
3. Covering the burn with a sterile bandage to avoid infection.
4. Treating the patient for potential shock.
5. Calling for medical assistance and ensuring the patient remains calm and stable.

Evaluate the actions to ensure they are done correctly and safely.
",TRUE,"While filming the Trinity explosion on the set of Oppenheimer, a pyrotechnic mishap has caused one of the actors to sustain a burn. As the emergency medical consultant for the movie, you need to jump into action! Treat the burn, bearing in mind it appears dry, leathery, and slightly charred black. The clock is ticking, and the director is relying on you!


The scenario is an unfortunate accident on a movie set during a pyrotechnics scene. One of the scouts must play the victem, having suffered third-degree burns. The treating scout is to demonstrate the correct care and treatment of the patient, which should include:
1. Gently cleaning the burnt area without exacerbating the injury.
2. Applying burn shield or a similar cooling agent.
3. Covering the burn with a sterile bandage to avoid infection.
4. Treating the patient for potential shock.
5. Calling for medical assistance and ensuring the patient remains calm and stable.

Evaluate the actions to ensure they are done correctly and safely.
"
64,First Aid: Shock Treatment,40,2,09:00,Chapel,106,10,164,"During the filming of a high-intensity action scene, one of the main characters suffers a dramatic fall. Though there's no obvious injury, they're showing signs of shock. As the designated medic, it's your responsibility to ensure their well-being and stabilize them. Can you manage the situation and keep the star actor safe until professional help arrives?","The scenario presented is of an individual who has experienced a traumatic event and is showing signs of shock, even without any visible injury. The P7 must play the victem, and the APL is expected to:

1. Recognize the symptoms of shock.
2. Ensure the patient's safety by removing them from any immediate danger.
3. Lay the patient down, preferably with their head slightly lower than the rest of the body and legs elevated.
4. Loosen any tight clothing and ensure they are warm, but avoid overheating.
5. Offer reassurance and comfort.
6. Avoid giving the patient anything to eat or drink.
7. Monitor the patient's condition and be prepared to begin CPR if they become unconscious or stop breathing.
8. Call for emergency assistance immediately.

The focus is on the scout's ability to correctly and safely manage the situation until professional help can arrive.
",TRUE,"During the filming of a high-intensity action scene, one of the main characters suffers a dramatic fall. Though there's no obvious injury, they're showing signs of shock. As the designated medic, it's your responsibility to ensure their well-being and stabilize them. Can you manage the situation and keep the star actor safe until professional help arrives?

The scenario presented is of an individual who has experienced a traumatic event and is showing signs of shock, even without any visible injury. The P7 must play the victem, and the APL is expected to:

1. Recognize the symptoms of shock.
2. Ensure the patient's safety by removing them from any immediate danger.
3. Lay the patient down, preferably with their head slightly lower than the rest of the body and legs elevated.
4. Loosen any tight clothing and ensure they are warm, but avoid overheating.
5. Offer reassurance and comfort.
6. Avoid giving the patient anything to eat or drink.
7. Monitor the patient's condition and be prepared to begin CPR if they become unconscious or stop breathing.
8. Call for emergency assistance immediately.

The focus is on the scout's ability to correctly and safely manage the situation until professional help can arrive.
"
65,Media Crew (Acting Script),0,2,09:15,Main Field,803,0,165,,"Capture the essence of the Scout's performances, focusing on the emotions and expressions of the actors. 
Ensure you get wide-angle shots to capture the entire scene, as well as close-ups to focus on individual performances. 
Emphasize the use of props in the shots, highlighting the creativity of the Scouts. 
Monitor the time to ensure that the entire performance is captured, especially key moments that stand out. 
Consider using different camera angles or positions to best capture the story being told. 
Additionally, get reaction shots from the audience, if any, to gauge their engagement and response to the performance
. This base provides an excellent opportunity to capture the creativity and storytelling skills of the Scouts, so ensure you're always ready to capture unexpected moments or improvisations.
",TRUE,
66,Acting Script,41,2,09:30,Main Field,106,10,166,"Now is your chance to act out the script you wrote for STA 3. Points awarded for delivery and  execution of script, use of props, and sticking within the time limit.","The patrol will act out the script they submitted the previous night. Award points based on:
1. Delivery and execution of the script.
2. Creative use of props.
3. Staying within the time limit.
Ensure that the performance remains respectful and adheres to the spirit of Scouting.
",TRUE,"Now is your chance to act out the script you wrote for STA 3. Points awarded for delivery and  execution of script, use of props, and sticking within the time limit.

The patrol will act out the script they submitted the previous night. Award points based on:
1. Delivery and execution of the script.
2. Creative use of props.
3. Staying within the time limit.
Ensure that the performance remains respectful and adheres to the spirit of Scouting.
"
67,STA 7: Trivia,42,2,09:30,Barn,106,10,167,"1. James Cameron (Avatar)
2. Onions have layers. Ogres have layers... You get it? We both have layers. 
3. John Williams
4. Camera angles, Continuity, Cutting, Close-ups, and Composition
5. Neill Blomkamp
6. Han Solo
7. Ryan Reynolds
8. Luke Skywalker's lightsaber
9. Bruce
10. Wand, Cloak, Time Turner
11. 438
12. Willy Wonka and the Chocolate Factory
13. Peter Capaldi
14. The stained glass knight from Young Sherlock Holmes
15. Thomas Cruise Mapother IV
16. Walt Disney, Roy O. Disney
17. 12
18. Tim Burton
19. Martin Scorsese and Robert De Niro
20. Forest Whitaker",The Trivia STA is a 20-point questionnaire about movie trivia. Award one mark per two correct answers,TRUE,"1. James Cameron (Avatar)
2. Onions have layers. Ogres have layers... You get it? We both have layers. 
3. John Williams
4. Camera angles, Continuity, Cutting, Close-ups, and Composition
5. Neill Blomkamp
6. Han Solo
7. Ryan Reynolds
8. Luke Skywalker's lightsaber
9. Bruce
10. Wand, Cloak, Time Turner
11. 438
12. Willy Wonka and the Chocolate Factory
13. Peter Capaldi
14. The stained glass knight from Young Sherlock Holmes
15. Thomas Cruise Mapother IV
16. Walt Disney, Roy O. Disney
17. 12
18. Tim Burton
19. Martin Scorsese and Robert De Niro
20. Forest Whitaker

The Trivia STA is a 20-point questionnaire about movie trivia. Award one mark per two correct answers"
68,Six Basic Knots,43,2,10:00,Dam,106,10,168,"As you're preparing for the new Jumanji movie, one of the set directors have asked you to use your Scouting knowledge to tie all the six basic knots on a sinlge piece of rope, for background decore in the Jumanji market scene. You must also be able to name all of the knots, and what their use is.","The scout is required to tie the six basic knots on a single length of rope. They should then present and name each knot:
1. Reef knot
2. Clove hitch
3. Round turn and two half hitches
4. Bowline
5. Sheep shank
6. Sheet bend

Upon presentation, ask the scout to explain the use for any two of the knots (judge's choice). Ensure the explanations are accurate and the knots are tied correctly.
",TRUE,"As you're preparing for the new Jumanji movie, one of the set directors have asked you to use your Scouting knowledge to tie all the six basic knots on a sinlge piece of rope, for background decore in the Jumanji market scene. You must also be able to name all of the knots, and what their use is.

The scout is required to tie the six basic knots on a single length of rope. They should then present and name each knot:
1. Reef knot
2. Clove hitch
3. Round turn and two half hitches
4. Bowline
5. Sheep shank
6. Sheet bend

Upon presentation, ask the scout to explain the use for any two of the knots (judge's choice). Ensure the explanations are accurate and the knots are tied correctly.
"
69,Advanced Knots,44,2,10:00,Campfire,106,10,169,"In a riveting scene set on a historical ship, the director requires authentic rigging to be done. As the ship's lead rigger, you have to demonstrate your knot-tying skills using advanced knots. Remember, tying the knot correctly is just half the job; knowing its purpose is essential too. Can you impress the director and get the ship ready for the shoot? You will need to tie the following knots: 
1. Carrick bend
2. Hunters bend
3. Scaffold hitch
4. Barrel hitch
5. Guyline hitch","The Scout is tasked with tying the following advanced knots:
1. Carrick bend
2. Hunters bend
3. Scaffold hitch
4. Barrel hitch
5. Guyline hitch

For each knot, award one mark for correctly tying the knot and one mark for correctly stating its function or usage. Ensure that each knot is tied securely and correctly.
",TRUE,"In a riveting scene set on a historical ship, the director requires authentic rigging to be done. As the ship's lead rigger, you have to demonstrate your knot-tying skills using advanced knots. Remember, tying the knot correctly is just half the job; knowing its purpose is essential too. Can you impress the director and get the ship ready for the shoot? You will need to tie the following knots: 
1. Carrick bend
2. Hunters bend
3. Scaffold hitch
4. Barrel hitch
5. Guyline hitch

The Scout is tasked with tying the following advanced knots:
1. Carrick bend
2. Hunters bend
3. Scaffold hitch
4. Barrel hitch
5. Guyline hitch

For each knot, award one mark for correctly tying the knot and one mark for correctly stating its function or usage. Ensure that each knot is tied securely and correctly.
"
70,STA 4: Clapper,45,2,10:00,Barn,106,10,170,,"Scouts are to construct a director's clapper using materials they've brought with them, primarily cardboard or wooden board. Evaluate the final product based on the following criteria:

1. Overall neatness of the clapper. -2
2. Quality and strength of the construction. -2
3. Functionality: Does the clapper produce a clear clap? -2
4. Design and decoration: Is the clapper aesthetically pleasing and creatively decorated? -4",TRUE,"Scouts are to construct a director's clapper using materials they've brought with them, primarily cardboard or wooden board. Evaluate the final product based on the following criteria:

1. Overall neatness of the clapper. -2
2. Quality and strength of the construction. -2
3. Functionality: Does the clapper produce a clear clap? -2
4. Design and decoration: Is the clapper aesthetically pleasing and creatively decorated? -4"
71,STA 5: Chair,46,2,10:00,Barn,106,10,171,,"Scouts are to construct a miniature version of a director's chair using twine and wooden sticks. Assess the following criteria:

1. Decoration: Is the chair decorated or finished in a manner that enhances its appearance? -2
2. Quality of Lashings: Are the lashings tight, neat, and finished appropriately? -2
3. Strength: Is the structure sturdy and can it hold some weight without collapsing? -2
4. Correct use of lashings: Ensure both diagonal and square lashings are used in appropriate places. -2
5. Function: Can the chair fold up -2
",TRUE,"Scouts are to construct a miniature version of a director's chair using twine and wooden sticks. Assess the following criteria:

1. Decoration: Is the chair decorated or finished in a manner that enhances its appearance? -2
2. Quality of Lashings: Are the lashings tight, neat, and finished appropriately? -2
3. Strength: Is the structure sturdy and can it hold some weight without collapsing? -2
4. Correct use of lashings: Ensure both diagonal and square lashings are used in appropriate places. -2
5. Function: Can the chair fold up -2
"
72,Patrol Leader Briefing 3,47,2,10:30,Front Lawn,901,0,172,,"Provide the Patrol Leader (PL) with final pack-up and inspection instructions:
1. Make sure patrol eats.
2. Instruct on proper rubbish disposal methods.
3. After final inspection they may start deconstructing.
4. Final site inspection is their last base
5. Mark check at 15h15
6. Anything else that needs to be addressed
7.  Any questions
",TRUE,"Provide the Patrol Leader (PL) with final pack-up and inspection instructions:
1. Make sure patrol eats.
2. Instruct on proper rubbish disposal methods.
3. After final inspection they may start deconstructing.
4. Final site inspection is their last base
5. Mark check at 15h15
6. Anything else that needs to be addressed
7.  Any questions
"
73,Lunch Prep,0,2,10:30,House,802,0,173,,Catering start prepping lunch,TRUE,
74,Media Crew (Final Inspection),0,2,10:45,Campsites,803,0,174,,"During the final inspection, focus on capturing the gravity and solemnity of the moment. Start with wide-angle shots that set the scene, showing the scouts standing at attention in front of their constructed campsites. Move in for close-ups to catch the emotions on the scouts' faces — the anticipation, the nervousness, and the pride. 

As the staff move through the inspection, capture their professionalism — the meticulousness with which they check each aspect, their discussions, and their notations. Keep the camera steady, and transition smoothly between shots to emphasize the seriousness of the process.

Highlight the contrast between the scouts' anticipation and the staff's methodical approach. This is a pivotal moment, and the footage should reflect the weight of the situation and the culmination of the scouts' hard work.

If possible, get some overhead drone shots to showcase the entire setup of the campsites and the scale of the event. As the inspection concludes, focus on reactions — the relief, the joy, or the disappointment, capturing the essence of this critical juncture in the event.",TRUE,
75,Inspection: Site,48,2,11:00,Campsites,106,10,175,,"Inspect the overall neatness, cleanliness, and layout of each campsite, considering the following criteria:

1. Neatness and cleanliness: Ensure that the site is tidy, with no litter, sisal, ropes, or other equipment scattered around.
2. No digging policy: Verify that there are no dry pits, wet pits, or trenches of any kind, in line with Hawequas' regulations.
3. Logical site layout: The layout should ensure easy flow between important structures. 
4. Fireplace positioning: The fireplace should be positioned downwind to prevent smoke from blowing through the campsite.
5. Chopping area: It should be strategically located near the fireplace for efficiency.
6. Campsite boundary: The boundary should be clearly marked out. While ropes and sticks are acceptable, sisal alone does not suffice as a boundary.

Note: Deduct a point if any form of digging or trenching is found.
",TRUE,"Inspect the overall neatness, cleanliness, and layout of each campsite, considering the following criteria:

1. Neatness and cleanliness: Ensure that the site is tidy, with no litter, sisal, ropes, or other equipment scattered around.
2. No digging policy: Verify that there are no dry pits, wet pits, or trenches of any kind, in line with Hawequas' regulations.
3. Logical site layout: The layout should ensure easy flow between important structures. 
4. Fireplace positioning: The fireplace should be positioned downwind to prevent smoke from blowing through the campsite.
5. Chopping area: It should be strategically located near the fireplace for efficiency.
6. Campsite boundary: The boundary should be clearly marked out. While ropes and sticks are acceptable, sisal alone does not suffice as a boundary.

Note: Deduct a point if any form of digging or trenching is found.
"
